Date,Home,Away,Poisson_H_xG,Poisson_A_xG,Results,H_Points,A_Points,,,Team,W,D,L,CurrentW,CurrentD,CurrL,FinW,FinD,FinL
7/10/21,Paraguay,Argentina,1,1,DRAW,1,1,,,Brazil,8,1,1,8,0,0,16,1,1
7/10/21,Uruguay,Colombia,1,0,H_WIN,3,0,,,Argentina,5,3,2,5,3,0,10,6,2
7/10/21,Ecuador,Bolivia,4,1,H_WIN,3,0,,,Uruguay,4,3,2,4,3,2,8,6,4
7/10/21,Peru,Chile,0,0,DRAW,1,1,,,Colombia,4,1,4,3,4,2,7,5,6
7/10/21,Venezuela,Brazil,0,2,A_WIN,0,3,,,Ecuador,3,1,5,4,1,4,7,2,9
10/10/21,Colombia,Brazil,0,1,A_WIN,0,3,,,Paraguay,2,5,2,2,5,2,4,10,4
10/10/21,Venezuela,Ecuador,0,1,A_WIN,0,3,,,Peru,3,4,2,2,2,5,5,6,7
10/10/21,Bolivia,Peru,0,1,A_WIN,0,3,,,Chile,1,3,5,1,4,4,2,7,9
10/10/21,Argentina,Uruguay,1,0,H_WIN,3,0,,,Venezuela,2,3,4,1,1,7,3,4,11
10/10/21,Chile,Paraguay,0,1,A_WIN,0,3,,,Bolivia,0,4,5,1,3,5,1,7,10
12/10/21,Brazil,Uruguay,1,0,H_WIN,3,0,,,,,,,,,,,,
12/10/21,Bolivia,Paraguay,1,1,DRAW,1,1,,,,,,,,,,,,
12/10/21,Argentina,Peru,0,0,DRAW,1,1,,,,,,,,,,,,
12/10/21,Chile,Venezuela,1,0,H_WIN,3,0,,,,,,,,,,,,
12/10/21,Colombia,Ecuador,1,0,H_WIN,3,0,,,,,,,,,,,,
11/11/21,Ecuador,Venezuela,0,2,A_WIN,0,3,,,,,,,,,,,,
11/11/21,Brazil,Colombia,2,1,H_WIN,3,0,,,,,,,,,,,,
11/11/21,Paraguay,Chile,1,0,H_WIN,3,0,,,,,,,,,,,,
11/11/21,Uruguay,Argentina,1,0,H_WIN,3,0,,,,,,,,,,,,
11/11/21,Peru,Bolivia,3,0,H_WIN,3,0,,,,,,,,,,,,
16/11/21,Argentina,Brazil,1,0,H_WIN,3,0,,,,,,,,,,,,
16/11/21,Bolivia,Uruguay,0,0,DRAW,1,1,,,,,,,,,,,,
16/11/21,Colombia,Paraguay,0,0,DRAW,1,1,,,,,,,,,,,,
16/11/21,Venezuela,Peru,1,1,DRAW,1,1,,,,,,,,,,,,
16/11/21,Chile,Ecuador,0,2,A_WIN,0,3,,,,,,,,,,,,
27/1/22,Colombia,Peru,1,0,H_WIN,3,0,,,,,,,,,,,,
27/1/22,Paraguay,Uruguay,0,1,A_WIN,0,3,,,,,,,,,,,,
27/1/22,Chile,Argentina,0,2,A_WIN,0,3,,,,,,,,,,,,
27/1/22,Venezuela,Bolivia,2,0,H_WIN,3,0,,,,,,,,,,,,
27/1/22,Ecuador,Brazil,1,3,A_WIN,0,3,,,,,,,,,,,,
1/2/22,Peru,Ecuador,1,0,H_WIN,3,0,,,,,,,,,,,,
1/2/22,Uruguay,Venezuela,0,0,DRAW,1,1,,,,,,,,,,,,
1/2/22,Bolivia,Chile,1,1,DRAW,1,1,,,,,,,,,,,,
1/2/22,Argentina,Colombia,1,0,H_WIN,3,0,,,,,,,,,,,,
1/2/22,Brazil,Paraguay,3,0,H_WIN,3,0,,,,,,,,,,,,
24/3/22,Uruguay,Peru,1,0,H_WIN,3,0,,,,,,,,,,,,
24/3/22,Brazil,Chile,2,0,H_WIN,3,0,,,,,,,,,,,,
24/3/22,Argentina,Venezuela,0,0,DRAW,1,1,,,,,,,,,,,,
24/3/22,Colombia,Bolivia,4,1,H_WIN,3,0,,,,,,,,,,,,
24/3/22,Paraguay,Ecuador,0,0,DRAW,1,1,,,,,,,,,,,,
29/3/22,Venezuela,Colombia,0,2,A_WIN,0,3,,,,,,,,,,,,
29/3/22,Bolivia,Brazil,0,0,DRAW,1,1,,,,,,,,,,,,
29/3/22,Chile,Uruguay,1,1,DRAW,1,1,,,,,,,,,,,,
29/3/22,Peru,Paraguay,0,0,DRAW,1,1,,,,,,,,,,,,
29/3/22,Ecuador,Argentina,0,2,A_WIN,0,3,,,,,,,,,,,,
Unknown,Brazil,Argentina,1,0,A_WIN,3,0,,,,,,,,,,,,